,no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img
0,1,Temple Mall North,22.3425903320313,114.190719604492,SemiQuick,Kowloon,Wong Tai Sin,"Temple Mall North Carpark, Level 3,
136 Lung Cheung Rd, Wong Tai Sin, Kln",CLP,320-322,/EV/PublishingImages/common/map/map_thumb/Entrance_Lung%20Cheung.jpg
1,2,Fu Shing Building,22.4420719146729,114.027671813965,SemiQuick,New Territories,Yuen Long,"Fu Shing Building Carpark, 1/F
9 Sai Ching Street, Yuen Long, NT",CLP,33-35,/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Shing%20Building.jpg
2,3,Lok Fu Plaza Carpark,22.3386573791504,114.186103820801,SemiQuick,Kowloon,Wong Tai Sin,"Lok Fu Plaza Carpark, G/F
Wang Tau Hom, Wong Tai Sin, Kln",CLP,67-69,/EV/PublishingImages/common/map/map_thumb/Entrance_Lo%20Fu_large.jpg
3,4,MegaBox,22.3203277587891,114.208526611328,SemiQuick,Kowloon,Kwun Tong,"MegaBox Carpark,  B/F
38 Wang Chiu Road, Kowloon Bay, Kln",CLP,139-141,/EV/PublishingImages/common/map/map_thumb/Megabox.jpg
4,5,LOHAS Park - the Capitol,22.2961540222168,114.272148132324,Standard,New Territories,Sai Kung,"Carpark, G/F, The Capitol,
LOHAS Park, Tseung Kwan O, NT",CLP,V14-V16,/EV/PublishingImages/common/map/map_thumb/Entrance_lohas_large.jpg
5,6,Shek Lei Shopping Centre II,22.3658618927002,114.140121459961,SemiQuick,New Territories,Kwai Tsing,"Shek Lei Shopping Centre Phase II Carpark,  4/F
Shek Lei Estate, Kwai Chung, NT",CLP,33-35,/EV/PublishingImages/common/map/map_thumb/Entrance_Shek%20lei%20shopping%20ctr.jpg
6,7,Fu Tung Shopping Centre,22.2882328033447,113.941909790039,SemiQuick,Outlying Islands,Outlying Islands,"Fu Tung Shopping Centre Carpark,  G/F
Fu Ting Estate, Tung Chung, Lantau, NT",CLP,1001-1003,/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Tung_large.jpg
7,8,Landmark North,22.5029144287109,114.127586364746,Standard,New Territories,North,"Landmark North Carpark, B3/F 
39 Lung Sum Avenue, Sheung Shui, NT",CLP,79-81,/EV/PublishingImages/common/map/map_thumb/Entrance_Landmark%20north_large.jpg
8,9,Ocean Terminal,22.2956161499023,114.169357299805,SemiQuick,Kowloon,Yau Tsim Mong,"Ocean Terminal Carpark (Harbour City), 4/F
3-27 Canton Rd, Tsimshatsui, Kln",CLP,"1250-1251, 1305",/EV/PublishingImages/common/map/map_thumb/Entrance_Ocean%20Terminal_large.jpg
9,10,Tai Wo Shopping Centre,22.4504833221436,114.160835266113,SemiQuick,New Territories,Tai Po,"Tai Wo Shopping Centre, 1/F Carpark
Tai Wo Estate, Tai Po, NT",CLP,B1-B3,/EV/PublishingImages/common/map/map_thumb/Entrance_tai%20wo_large.jpg
10,11,Fanling Town Centre,22.4922847747803,114.138900756836,SemiQuick,New Territories,North,"Fanling Town Centre Carpark, B/F
18 Fanling Station Road, Fanling, NT",CLP,22-24,/EV/PublishingImages/common/map/map_thumb/Fanling%20Town%20Centre.jpg
11,12,Olympian City 2,22.3152523040771,114.162506103516,SemiQuick,Kowloon,Yau Tsim Mong,"Olympian City 2 Carpark, G/F
18 Hoi Ting Road, West Kowloon",CLP,"33,35",/EV/PublishingImages/common/map/map_thumb/Entrance_Olympian%20city%202.jpg
12,13,Festival Walk,22.338134765625,114.17391204834,Standard,Kowloon,Sham Shui Po,"Festival Walk Carpark, P1/F,
80 Tat Chee Avenue, Kowloon Tong, Kln",CLP,P15-P16,/EV/PublishingImages/common/map/map_thumb/Festival%20Walk.jpg
13,14,The Long Beach,22.3194198608398,114.15657043457,SemiQuick,Kowloon,Yau Tsim Mong,"The Long Beach Carpark, L1/F 
8 Hoi Fai Road, West Kowloon",CLP,107-108,/EV/PublishingImages/common/map/map_thumb/Entrance_long%20beach_large.jpg
14,15,Kwun Tong Plaza,22.3108863830566,114.225875854492,Standard,Kowloon,Kwun Tong,"Kwun Tong Plaza Carpark, 6/F,
68 Hoi Yuen Road, Kwun Tong, Kln",CLP,6P10,/EV/PublishingImages/common/map/map_thumb/Entrance_Kwun%20Tong%20Plaza_large.jpg
15,16,Gold Coast Piazza,22.3718738555908,113.993019104004,SemiQuick,New Territories,Tuen Mun,"Gold Coast Piazza Carpark, B/F, 
1 Castle Peak Road, Castle Peak Bay, NT",CLP,189-190,/EV/PublishingImages/common/map/map_thumb/Entrance_Gold%20Coast%20Piazza.jpg
16,17,China Hong Kong City,22.3010005950928,114.167915344238,Standard,Kowloon,Yau Tsim Mong,"China Hong Kong City Carpark, B/F
33 Canton Road, Tsim Sha Tsui, Kln",CLP,B111,/EV/PublishingImages/common/map/map_thumb/Entrance_China%20HK%20city_large.jpg
17,18,Chinachem Tsuen Wan Plaza,22.3752117156982,114.111328125,Standard,New Territories,Tsuen Wan,"Chinachem Tsuen Wan Plaza, 1/F
457 Castle Peak Road, Tsuen Wan, NT",CLP,C2,/EV/PublishingImages/common/map/map_thumb/Chinachem%20Tsuen%20Wan%20Plaza.jpg
18,19,Hong Kong Science Park,22.4262580871582,114.20987701416,SemiQuick,New Territories,Shatin,"Hong Kong Science Park Carpark P2, B/F,
8-10 Science Park West Avenue, Shatin, N.T.",CLP,"D042 - D052, D106 - D112",/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20Science%20Park_large.jpg
19,20,Tin Shing Court,22.4493846893311,114.001853942871,Standard,New Territories,Yuen Long,"Tin Shing Court Carpark, 3/F,
3 Tin Ching Street, Tin Shui Wai,Yuen Long, N.T.",CLP,"3177-3186, 3189-3206",/EV/PublishingImages/common/map/map_thumb/Tin%20Shing%20Court.jpg
20,21,Shatin Centre,22.382116317749,114.190078735352,SemiQuick,New Territories,Shatin,"Shatin Centre Carpark, 2/F, 
2-16 Wang Pok Street, Shatin, N.T.",CLP,73-75,/EV/PublishingImages/common/map/map_thumb/Shatin%20Centre.jpg
21,22,Mira Mall,22.3006286621094,114.172828674316,SemiQuick,Kowloon,Yau Tsim Mong,"Mira Mall Carpark, B2/F
132 Nathan Road, Tsim Sha Tsui, Kln",CLP,2116-2119,/EV/PublishingImages/common/map/map_thumb/Miramar%20Shopping%20Centre.jpg
22,23,Langham Place,22.3174228668213,114.168731689453,SemiQuick,Kowloon,Yau Tsim Mong,"Langham Place Carpark, B4/F, 
8 Argyle Street, Mongkok, Kln",CLP,"22, 41, 64",/EV/PublishingImages/common/map/map_thumb/Entrance_Langham%20Place.jpg
23,24,Citygate,22.2911186218262,113.943572998047,SemiQuick,Outlying Islands,Outlying Islands,"Citygate North Carpark, B1/F,
20 Tat Tung Road, Tung Chung, Lantau",CLP,"121, 122",/EV/PublishingImages/common/map/map_thumb/Entrance_Citygate.jpg
24,25,CLP Centenary Building,22.3077507019043,114.162055969238,Quick,Kowloon,Yau Tsim Mong,"CLP Centenary Building, G/F,
1 To Wah Road, Jordan, Kowloon",CLP,,/EV/PublishingImages/common/map/map_thumb/Entrance_CLP%20Centenary%20Building_large.jpg
25,26,Hong Kong Science Park,22.4263610839844,114.209915161133,Quick,New Territories,Shatin,"Hong Kong Science Park Carpark P2, B/F,
8-10 Science Park West Avenue, Shatin, N.T.",CLP,D104,/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20Science%20Park_large.jpg
26,27,Hong Kong International Airport,22.3181991577148,113.933769226074,SemiQuick,Outlying Islands,Outlying Islands,"HK International Airport Carpark 4, 1/F,
11 Cheong Tat Road, Hong Kong International Airport,
Chek Lap Kok",CLP,"1004 -1005, 1085-1086",/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20International%20Airport.jpg
27,28,The Peak Galleria,22.270471572876,114.149543762207,Standard,Hong Kong Island,Central and Western,"The Peak Galleria Carpark, B1/F 
118 Peak Road, The Peak, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/The%20Peak%20Galleria%20Carpark%2002.jpg
28,29,Star Ferry,22.2830810546875,114.160255432129,Standard;SemiQuick,Hong Kong Island,Central and Western,"Star Ferry Carpark 1/F,9 Edinburgh Place, Central, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/Star%20Ferry%20Carpark%2001.jpg
29,30,Cityplaza,22.2865810394287,114.218032836914,Standard,Hong Kong Island,Eastern,"Cityplaza, Carpark B3 
18 Taikoo Shing Road, Taikoo Shing, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/Cityplaza.jpg
30,31,Oi Tung Estate,22.2803726196289,114.226852416992,Standard,Hong Kong Island,Eastern,"Oi Tung Estate Carpark, 2/F, 
Oi Tung Estate, Shau Kei Wan, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/Oi%20Tung%20Estate.jpg
31,32,Tin Hau Carpark,22.2830295562744,114.191688537598,Standard,Hong Kong Island,Eastern,"Tin Hau Carpark, 3/F, 
Lau Sin Street &amp; Electric Road Junction, Tin Hau, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/Tin%20Hau%20Carpark.jpg
32,33,Cyberport,22.262451171875,114.130599975586,Standard,Hong Kong Island,Southern,"Cyberport Car Park 1, 2/F
Cyberport 2, 100 Cyberport Road, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/Cyberport%20car%20park%201_001.jpg
33,34,HEC ex-Operational Headquarters,22.2434043884277,114.147987365723,Quick,Hong Kong Island,Southern,"HEC ex-Operational Headquarters, G/F
2 Yi Nga Drive, Ap Lei Chau, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/HK%20Electric%20ex-Operational%20Headquarters.jpg
34,35,The Centrium,22.280725479126,114.154586791992,Standard,Hong Kong Island,Central and Western,"The Centrium Carpark 8/F 
60 Wyndham Street , Central HK",Others,,/EV/PublishingImages/common/map/map_thumb/The%20Centrium.jpg
35,36,Citibank Plaza,22.2788238525391,114.160987854004,Standard,Hong Kong Island,Central and Western,"Citibank Plaza Carpark B2 &amp; B3 
Citibank Plaza Lcbc Tower , 3 Garden Road, Central, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Citibank%20Plaza.jpg
36,37,New World Tower,22.280366897583,114.156875610352,Standard,Hong Kong Island,Central and Western,"New World Tower Carpark 6/F
16-18 Queen&#39;s Rd Central, HK",Others,,/EV/PublishingImages/common/map/map_thumb/New%20World%20Tower.jpg
37,38,148 Electric Road,22.2864227294922,114.191902160645,Standard,Hong Kong Island,Eastern,"148 Electric Road Carpark 2/F
148 Electric Road , North Point, HK",Others,,/EV/PublishingImages/common/map/map_thumb/148%20Electric%20Road.jpg
38,39,Cornell Centre,22.2677135467529,114.243087768555,Standard,Hong Kong Island,Eastern,"Cornell Centre Carpark 1/F
50 Wing Tai Road ,Chai Wan, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Cornell%20Centre.jpg
39,40,Island Resort,22.2654590606689,114.251121520996,Standard,Hong Kong Island,Eastern,"Island Resort Carpark 1/F , 
28 Siu Sai Wan Road, Chai Wan, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Island%20Resort.jpg
40,41,Great Eagle Centre,22.2808494567871,114.175270080566,Standard,Hong Kong Island,Wan Chai,"Great Eagle Centre Carpark 4/F, 
23-25 Harbour Road, Wan Chai, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Great%20Eagle%20Centre.jpg
41,42,Hopewell Centr,22.2742805480957,114.171257019043,Standard;SemiQuick,Hong Kong Island,Wan Chai,"Hopewell Centre Carpark 11/F, 
183 Queen&#39;s Rd E, Wan Chai, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Hopewell%20Centre.jpg
42,43,Olympic House,22.2740020751953,114.18741607666,Standard,Hong Kong Island,Wan Chai,"Olympic House Carpark G/F
1 Stadium Path, Happy Valley, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Olympic%20House.jpg
43,44,Sino Plaza,22.2816143035889,114.182594299316,Standard,Hong Kong Island,Wan Chai,"Sino Plaza Carpark B2/F
255-257 Gloucester Road, Causerway Bay, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Sino%20Plaza.jpg
44,45,Times Square,22.2779121398926,114.181762695313,Standard,Hong Kong Island,Wan Chai,"Times Square Carpark B5 &amp;B6
1 Matheson St, Causeway Bay, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Times%20Square.jpg
45,46,Wu Chung House,22.2743892669678,114.172737121582,Standard,Hong Kong Island,Wan Chai,"Wu Chung House Carpark 5/F
213 Queen&#39;s Rd E, Wan Chai, HK",Others,,/EV/PublishingImages/common/map/map_thumb/Wu%20Chung%20House.jpg
46,47,Sunshine Plaza,22.3116893768311,114.189300537109,Standard,Kowloon,Kowloon City,"Sunshine Plaza Carpark Level 2/F
17 Sung On Street , Hung Hom, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Sunshine%20Plaza.jpg
47,48,Exchange Tower,22.3208255767822,114.209732055664,Standard,Kowloon,Kwun Tong,"Exchange Tower Carpark Level B2
33 Wang Chiu Road , Kowloon Bay, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Exchange%20Tower.jpg
48,49,Fullerton Centre,22.313419342041,114.219383239746,Standard,Kowloon,Kwun Tong,"Fullerton Centre Carpark G/F,
19 Hung To Road, Kwun Tong, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Fullerton%20Centre.jpg
49,50,Futura Plaza,22.3117294311523,114.224311828613,Standard,Kowloon,Kwun Tong,"Futura Plaza Carpark Level 1,
111-113 How Ming Street, Kwun Tong, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Futura%20Plaza.jpg
