,Name,District,Price,latitude,longitude
0,The Belcher's Phase 1 2 Rooms 2 Living RoomsFlat B Lower Floor Block 2,Mid-Levels West,16800000,22.28677114112618,114.13441761123687
2,Kingswood Villas Sherwood Court 3 Rooms 2 Living RoomsFlat B Lower Floor Block 01,Tin Shui Wai,6280000,22.45316711799928,114.00243363129395
3,Lung Poon CourtFlat 5 Middle Floor Block D,Diamond Hill / San Po Kong / Ngau Chi Wan,5500000,22.29674983876606,114.01237131748923
4,Kingswood Villas Locwood Court 3 RoomsFlat D Middle Floor Block 12,Tin Shui Wai,5780000,22.451233800000068,114.00081420000004
5,The Horizon 3 Rooms 2 Living RoomsFlat B Court C1,Tai Po,19500000,22.218955036647557,114.20358034120191
6,Grand Central Phase I 2 Rooms 2 Living RoomsFlat M Higher Floor Tower 1,Kwun Tong,14500000,22.28306370000007,114.15774490000001
7,Ultima Phase 1 4 Rooms 2 Living RoomsFlat D Higher Floor Block 8,Ho Man Tin,65000000,22.316226112803548,114.17339404773588
8,City One Shatin Phase 5 2 Rooms 1 Living RoomFlat G Lower Floor Block 52,Shatin,5800000,22.338561244466604,114.15074220586138
9,The Pavilia Bay 3 RoomsFlat B Higher Floor Tower 1A,Tsuen Wan,27000000,22.237598537502198,114.19868140679894
10,The Pavilia Bay 5 RoomsFlat D Lower Floor Tower 1A,Tsuen Wan,20500000,22.237601840112116,114.19868856091624
11,Grand Waterfront 2 Rooms 1 Living RoomFlat H Middle Floor Block 2,To Kwa Wan,7480000,22.319379183115814,114.19341443673511
12,Yoho Town Phase 1 2 Rooms 2 Living RoomsFlat B Lower Floor Block 8,Yuen Long,7700000,22.441881240464795,114.03707245036298
13,Hunghom Bay Centre 3 RoomsFlat 2 Lower Floor Block H,Hung Hom,14500000,22.30584545624488,114.18577396629867
14,La Cite Noble 2 Rooms 2 Living RoomsFlat D Lower Floor Block 5,Hang Hau,7280000,22.31412843868309,114.2652975176562
15,Tai Yuen 2 RoomsFlat A,Happy Valley / Mid-Levels East,12000000,22.27648853012642,114.17315774748431
16,Abba House 2 Rooms 2 Living RoomsFlat 4 Higher Floor Block B,Aberdeen / Wong Chuk Hang,5980000,22.248302189719595,114.15255247018376
17,Serenade Cove 2 Rooms 2 Living RoomsFlat 8 Higher Floor Block A,Tsuen Wan,6800000,22.276650249777276,114.19538348089338
18,La Mansion28 Ping Kwai Road (House),Hung Shui Kiu,19000000,22.44103743217806,114.00620396542027
19,Discovery Park Phase 1 3 RoomsFlat A Lower Floor Block 02,Tsuen Wan,10000000,22.376115180376132,114.11151841300693
20,Classic Mansion 1 Room 2 Living RoomsFlat B Lower Floor,Ho Man Tin,7280000,22.276830000000075,114.17612000000008
