,Name,District,Price
0,"The Belcher's Phase 1 2 Rooms 2 Living Rooms
Flat B Lower Floor Block 2",Mid-Levels West,"$16.8
M"
1,"Yat Nga Court 1 Room 2 Living Rooms
Flat 11 Higher Floor Yat Wing House",Tai Po,"$4.78
M"
2,"Kingswood Villas Sherwood Court 3 Rooms 2 Living Rooms
Flat B Lower Floor Block 01",Tin Shui Wai,"$6.28
M"
3,"Lung Poon Court
Flat 5 Middle Floor Block D",Diamond Hill / San Po Kong / Ngau Chi Wan,"$5.5
M"
4,"Kingswood Villas Locwood Court 3 Rooms
Flat D Middle Floor Block 12",Tin Shui Wai,"$5.78
M"
5,"The Horizon 3 Rooms 2 Living Rooms
Flat B Court C1",Tai Po,"$19.5
M"
6,"Grand Central Phase I 2 Rooms 2 Living Rooms
Flat M Higher Floor Tower 1",Kwun Tong,"$14.5
M"
7,"Ultima Phase 1 4 Rooms 2 Living Rooms
Flat D Higher Floor Block 8",Ho Man Tin,"$65
M"
8,"City One Shatin Phase 5 2 Rooms 1 Living Room
Flat G Lower Floor Block 52",Shatin,"$5.8
M"
9,"The Pavilia Bay 3 Rooms
Flat B Higher Floor Tower 1A",Tsuen Wan,"$27
M"
10,"The Pavilia Bay 5 Rooms
Flat D Lower Floor Tower 1A",Tsuen Wan,"$20.5
M"
11,"Grand Waterfront 2 Rooms 1 Living Room
Flat H Middle Floor Block 2",To Kwa Wan,"$7.48
M"
12,"Yoho Town Phase 1 2 Rooms 2 Living Rooms
Flat B Lower Floor Block 8",Yuen Long,"$7.7
M"
13,"Hunghom Bay Centre 3 Rooms
Flat 2 Lower Floor Block H",Hung Hom,"$14.5
M"
14,"La Cite Noble 2 Rooms 2 Living Rooms
Flat D Lower Floor Block 5",Hang Hau,"$7.28
M"
15,"Tai Yuen 2 Rooms
Flat A",Happy Valley / Mid-Levels East,"$12
M"
16,"Abba House 2 Rooms 2 Living Rooms
Flat 4 Higher Floor Block B",Aberdeen / Wong Chuk Hang,"$5.98
M"
17,"Serenade Cove 2 Rooms 2 Living Rooms
Flat 8 Higher Floor Block A",Tsuen Wan,"$6.8
M"
18,"La Mansion
28 Ping Kwai Road (House)",Hung Shui Kiu,"$19
M"
19,"Discovery Park Phase 1 3 Rooms
Flat A Lower Floor Block 02",Tsuen Wan,"$10
M"
20,"Classic Mansion 1 Room 2 Living Rooms
Flat B Lower Floor",Ho Man Tin,"$7.28
M"
21,"Lohas Park Wings At Sea 3 Rooms 2 Living Rooms
Flat A Middle Floor Tower 2 (2B)",Lohas Park,"$13
M"
22,"Parc Royale 2 Rooms
Flat C Middle Floor Block 9",Shatin,"$10.5
M"
23,"Villa Tiara 2 Rooms
Flat A Lower Floor Block 5",Tuen Mun,"$6.08
M"
24,"Seaview Crescent 2 Rooms 2 Living Rooms
Flat H Lower Floor Block 2",Tung Chung,"$8.2
M"
25,"Hillgrove 2 Rooms 2 Living Rooms
Flat A3 Block A",Stanley / Chung Hom Kok,"$50
M"
26,"Ocean Pride Phase 2 (Ocean Supreme) 2 Rooms 1 Living Room
Flat B Higher Floor Tower 3B",Tsuen Wan,"$10.9
M"
27,"Tung Chung Crescent Phase 2 2 Rooms 2 Living Rooms
Flat C Middle Floor Block 8",Tung Chung,"$8.08
M"
28,"La Cite Noble 2 Rooms 2 Living Rooms
Flat H Higher Floor Block 2",Hang Hau,"$7.95
M"
29,"Ying Ming Court 2 Rooms 2 Living Rooms
Flat 7 Higher Floor Ming On House",Po Lam / Tseung Kwan O Station,"$7.3
M"
30,"Far East Consortium Yuen Long Building
Flat C Higher Floor",Yuen Long,"$4.15
M"
31,"The Garrison 1 Room 1 Living Room
Flat C Higher Floor",Shatin,"$5.3
M"
32,"Kwan Yick Building Phase 3 2 Rooms 1 Living Room
Flat A2 Middle Floor Block A",Hong Kong West,"$6.18
M"
33,"Hanley Villa
Flat A Middle Floor Block 5",Tsuen Wan,"$9.5
M"
34,"Conway Mansion 4 Rooms 2 Living Rooms
Flat B Lower Floor",Mid-Levels West,"$38.8
M"
35,"Seaview Crescent 2 Rooms 2 Living Rooms
Flat F Higher Floor Block 1",Tung Chung,"$8
M"
36,"Coastal Skyline La Rossa 2 Rooms 2 Living Rooms
Flat I Lower Floor Block 8 (La Rossa B)",Tung Chung,"$9.1
M"
37,"Shatin New Town (Lucky Plaza) 3 Rooms 2 Living Rooms
Flat B Lower Floor Block C2 ( Pak Lam Court )",Shatin,"$8.88
M"
38,"Ocean Pride Phase 2 (Ocean Supreme)
Flat D Lower Floor Tower 5B",Tsuen Wan,"$10
M"
39,"The Long Beach 3 Rooms 2 Living Rooms
Flat A Middle Floor Block 5",Olympic,"$19
M"
40,"Metro Harbour View Phase 1 4 Rooms 2 Living Rooms
Flat C Lower Floor Block 01",Tai Kok Tsui,"$12.9
M"
41,"Shun Chi Court 2 Rooms
Flat 2 Lower Floor Block C (Shun Ying House)",Kwun Tong,"$5.75
M"
42,"South Horizons Phase 3 2 Rooms 2 Living Rooms
Flat A Higher Floor Block 20",Ap Lei Chau,"$10.5
M"
43,"South Horizons Phase 2
Flat D Lower Floor Block 13A",Ap Lei Chau,"$9.4
M"
44,"Po On Building 2 Rooms
Flat D Higher Floor",Yuen Long,"$3.65
M"
45,"South Horizons Phase 3 3 Rooms 2 Living Rooms
Flat H Middle Floor Block 18",Ap Lei Chau,"$17.2
M"
46,"South Horizons Phase 2 4 Rooms 2 Living Rooms
Flat G Lower Floor Block 10",Ap Lei Chau,"$17.48
M"
47,"Lohas Park Hemera 4 Rooms 2 Living Rooms
Flat B Middle Floor Tower 5 L (Topaz)",Lohas Park,"$14
M"
48,"Shan Kwong Towers 3 Rooms 2 Living Rooms
Flat B Lower Floor",Happy Valley / Mid-Levels East,"$16.68
M"
49,"World-Wide Gardens 2 Rooms 2 Living Rooms
Flat A Higher Floor Laurel Court(Block 3A)",Shatin,"$12.28
M"
50,"The Grand Panorama 1 Room
Flat C Lower Floor Block 1",Mid-Levels West,"$16
M"
51,"Venice Gardens 2 Rooms
Flat A Higher Floor Block 1",Tuen Mun,"$6.18
M"
52,"Greenview Garden 3 Rooms 1 Living Room
Flat 5 Middle Floor Block A",Shatin,"$8.15
M"
53,"Yoho Town Yoho Midtown
Flat D Middle Floor Block M8",Yuen Long,"$12.8
M"
54,"May Mansion 2 Rooms
Flat B Lower Floor",Happy Valley / Mid-Levels East,"$9.1
M"
55,"The Belcher's Phase 2 3 Rooms
Flat E Middle Floor Block 5",Mid-Levels West,"$23.8
M"
56,"Hang Cheong Building 2 Rooms
Flat A Middle Floor",Yuen Long,"$4
M"
57,"Jubilee Garden 2 Rooms 1 Living Room
Flat D Higher Floor Block 4",Shatin,"$8.3
M"
58,"South Horizons Phase 4 (The Oasis) 2 Rooms 2 Living Rooms
Flat B Lower Floor Block 30",Ap Lei Chau,"$9.1
M"
59,"The Reach
Flat F Higher Floor Tower 03",Yuen Long,"$5.85
M"
60,"Fanling Centre Phase 1 2 Rooms
Flat 8 Lower Floor Block A",Sheung Shui / Fanling,"$5.76
M"
61,"Greenpark Villa 3 Rooms
Flat A Lower Floor Block 3",Sheung Shui / Fanling,"$7.3
M"
62,"The Visionary 3 Rooms 1 Living Room
Flat B Lower Floor Tower 09",Tung Chung,"$12.6
M"
63,"The Belcher's Phase 2 4 Rooms 2 Living Rooms
Flat F Higher Floor Block 6",Mid-Levels West,"$42
M"
64,"Century Gateway Phase 2 1 Room 1 Living Room
Flat F Middle Floor Block 6",Tuen Mun,"$7.25
M"
65,"May Shing Court 2 Rooms
Flat 15 Higher Floor Kwai Shing House",Shatin,"$6
M"
66,"Vantage Park 3 Rooms
Flat E Lower Floor Block 2",Mid-Levels West,"$15.1
M"
67,"City One Shatin Phase 2 2 Rooms 2 Living Rooms
Flat H Lower Floor Block 17",Shatin,"$5.45
M"
68,"Tsuen King Garden Phase 1
Flat G Middle Floor Block 04",Tsuen Wan,"$7.2
M"
69,"Wing Fok Centre
Flat H Lower Floor Block 6",Sheung Shui / Fanling,"$6.25
M"
70,"Kennedy Park At Central 4 Rooms 2 Living Rooms
Flat A Lower Floor",Mid-Levels Central / Admiralty,"$70
M"
71,"City One Shatin Phase 2 1 Room 1 Living Room
Flat D Higher Floor Block 19",Shatin,"$6.3
M"
72,"Greenery Plaza 2 Rooms 1 Living Room
Flat 5 Lower Floor Block B",Tai Po,"$5.7
M"
73,"Wai Wah Centre 1 Room 2 Living Rooms
Flat G Middle Floor Block 3",Shatin,"$6
M"
74,"Tung Chung Crescent Phase 1 2 Rooms 2 Living Rooms
Flat B Middle Floor Block 1",Tung Chung,"$8.4
M"
75,"City One Shatin Phase 3 2 Rooms 2 Living Rooms
Flat D Higher Floor Block 31",Shatin,"$6
M"
76,"City One Shatin Phase 2
Flat B Middle Floor Block 22",Shatin,"$8.3
M"
77,"Heya Star
Flat B Lower Floor Block 1",Cheung Sha Wan / Sham Shui Po,"$8.65
M"
78,"Park Signature 1 Room 1 Living Room
Flat A Lower Floor Block 9",Yuen Long,"$6.6
M"
79,"Kam Men Mansion
Flat F Lower Floor",Tuen Mun,"$4.5
M"
80,"Kingswood Villas Maywood Court 3 Rooms 2 Living Rooms
Flat D Middle Floor Block 03",Tin Shui Wai,"$6
M"
81,"Wylie Court 4 Rooms 2 Living Rooms
Flat B Middle Floor Wylie Court Block A",Kingspark,"$34
M"
82,"Hong Lam Court 3 Rooms 1 Living Room
Flat 5 Lower Floor Block A - (Shan Lam House)",Shatin,"$6.5
M"
83,"Whampoa Garden Site 5 2 Rooms 2 Living Rooms
Flat B Higher Floor Block 04",Hung Hom,"$9.2
M"
84,"Larvotto 1 Room 2 Living Rooms
Flat B Higher Floor Block 09",Ap Lei Chau,"$25.73
M"
85,"Kwai Chung Plaza 3 Rooms
Flat H Lower Floor Block 1",Kwai Chung,"$8.28
M"
86,"Vista Paradiso Phase 1 3 Rooms
Flat H Lower Floor Block 09",Ma On Shan,"$9.5
M"
87,"Regentville Phase 1 2 Rooms
Flat F Higher Floor Block 5",Sheung Shui / Fanling,"$6.5
M"
88,"Merry Court 3 Rooms 2 Living Rooms
Flat E Higher Floor Phase 1",Kowloon Tong / Beacon Hill,"$10
M"
89,"The Merton 2 Rooms 2 Living Rooms
Flat A Higher Floor Block 2",Hong Kong West,"$13.5
M"
90,"On Shing Court
Flat 11 Lower Floor Block A",Sheung Shui / Fanling,"$4
M"
91,"Handsome Court
Flat A Higher Floor Block 7",Tuen Mun,"$7
M"
92,"Caribbean Coast Phase 4 3 Rooms 2 Living Rooms
Flat H Higher Floor Block 15",Tung Chung,"$12
M"
93,"South Horizons Phase 4 (The Oasis) 2 Rooms 2 Living Rooms
Flat B Higher Floor Block 25",Ap Lei Chau,"$9.98
M"
94,"Celestial Heights Phase 1 4 Rooms 2 Living Rooms
Flat 35 Higher Floor Celestial Avenue 35",Ho Man Tin,"$39.8
M"
95,"Chelsea Court 4 Rooms 2 Living Rooms
Flat C Higher Floor Tower West (B1)",Tsuen Wan,"$14.3
M"
96,"Grand Palisades 2 Rooms
Flat F Lower Floor Block 08",Tai Po,"$7.25
M"
97,"Luk Yeung Sun Chuen 2 Rooms 2 Living Rooms
Flat 5 Lower Floor Block S",Tsuen Wan,"$7.7
M"
98,"Bayshore Towers 2 Rooms
Flat E Middle Floor Block 2",Ma On Shan,"$7.5
M"
99,"Grand Del Sol 2 Rooms
Flat C Higher Floor Block 01",Yuen Long,"$6.88
M"
100,"Laguna Verde Villa Verde 2 Rooms 1 Living Room
Flat G Lower Floor Tower 06",Hung Hom,"$10.5
M"
101,"Metro Harbour View Phase 1
Flat C Higher Floor Block 06",Tai Kok Tsui,"$10
M"
102,"Kwong Fung Terrace 2 Rooms
Flat B Higher Floor Block 2",Hong Kong West,"$10.8
M"
103,"The Reach 3 Rooms 1 Living Room
Flat G Lower Floor Tower 08",Yuen Long,"$8
M"
104,"The Victoria Towers 2 Rooms 2 Living Rooms
Flat B Middle Floor Block 1",Tsim Sha Tsui,"$21
M"
105,"Rockwin Court 1 Room 2 Living Rooms
Flat G",Happy Valley / Mid-Levels East,"$8.48
M"
106,"The Palazzo 3 Rooms 2 Living Rooms
Flat B Lower Floor Tower 6",Kau To Shan / Fotan,"$17
M"
107,"Dragons Range Court A 2 Rooms
Flat H Middle Floor Tower 1",Kau To Shan / Fotan,"$9.4
M"
108,"South Horizons Phase 4 (The Oasis) 3 Rooms 2 Living Rooms
Flat G Higher Floor Block 28",Ap Lei Chau,"$14.3
M"
109,"Greenery Plaza 3 Rooms
Flat 6 Lower Floor Block C",Tai Po,"$7
M"
110,"Bayshore Towers 2 Rooms
Flat F Lower Floor Block 1",Ma On Shan,"$7.3
M"
111,"Festival City Phase 1 3 Rooms 2 Living Rooms
Flat NA Higher Floor Block 3",Shatin,"$11
M"
112,"One Homantin 2 Rooms 2 Living Rooms
Flat E Lower Floor Tower 3",Ho Man Tin,"$10.8
M"
113,"The Papillons 3 Rooms 2 Living Rooms
Flat D Middle Floor Tower 6",Po Lam / Tseung Kwan O Station,"$15
M"
114,"Lohas Park Hemera 4 Rooms 2 Living Rooms
Flat B Lower Floor Tower 3 R (Amber)",Lohas Park,"$13.4
M"
115,"The Pavilia Bay
Flat E Higher Floor Tower 2B",Tsuen Wan,"$7.1
M"
116,"Villa Oceania 2 Rooms 2 Living Rooms
Flat E Middle Floor Block 5",Ma On Shan,"$8.98
M"
117,"University Heights 3 Rooms 2 Living Rooms
Flat E Lower Floor Block 1",Hong Kong West,"$18
M"
118,"22-24 Fa Po Street 3 Rooms 2 Living Rooms
Flat C1 Higher Floor",Yau Yat Chuen / Shek Kip Mei,"$23
M"
119,"Mantin Heights 2 Rooms 2 Living Rooms
Flat H Higher Floor Block 2",Ho Man Tin,"$13.5
M"
120,"Hong Shing Building 2 Rooms
Flat 7 Higher Floor",Yuen Long,"$3.75
M"
121,"Yoho Town Phase 1
Flat E Middle Floor Block 9",Yuen Long,"$7.8
M"
122,"Chelsea Heights Phase 1 2 Rooms 2 Living Rooms
Flat B Lower Floor Block 3",Tuen Mun,"$6.8
M"
123,"Lee Bo Building 1 Room 1 Living Room
Flat E Higher Floor",Tuen Mun,"$3.98
M"
124,"Healey Building
Flat F Lower Floor",Yuen Long,"$3
M"
125,"The Met. Blossom
Flat A1 Lower Floor Tower 1",Ma On Shan,"$4.2
M"
126,"Mantin Heights
Flat F Middle Floor Block 2",Ho Man Tin,"$12
M"
127,"Chun Man Court 2 Rooms 2 Living Rooms
Flat 2 Lower Floor Block C( Man Lan House )",Ho Man Tin,"$6.9
M"
128,"Bel Air Heights 2 Rooms 1 Living Room
Flat H Higher Floor Block 1",Diamond Hill / San Po Kong / Ngau Chi Wan,"$8.98
M"
129,"Peony Height 2 Rooms 2 Living Rooms
Flat C Higher Floor",Ho Man Tin,"$7.5
M"
130,"Century Gateway Phase 1 2 Rooms 2 Living Rooms
Flat E Middle Floor Block 1",Tuen Mun,"$9.35
M"
131,"Golden Lion Garden Stage 1 1 Room 1 Living Room
Flat 5 Middle Floor Golden Harvest Court",Shatin,"$4.4
M"
132,"City One Shatin Phase 3 2 Rooms 1 Living Room
Flat C Lower Floor Block 29",Shatin,"$5.9
M"
133,"One Pacific Heights 2 Rooms
Flat B Lower Floor",Sheung Wan / Central,"$11.65
M"
134,"Harbour Green 3 Rooms 2 Living Rooms
Flat F Middle Floor Block 5",Olympic,"$12.5
M"
135,"Monte Vista 3 Rooms 2 Living Rooms
Flat C Middle Floor Block 10",Ma On Shan,"$9.9
M"
136,"Tsuen Wan Centre
Flat H Middle Floor Hangchow House(Block 3)",Tsuen Wan,"$4.2
M"
137,"Corinthia By The Sea 2 Rooms 2 Living Rooms
Flat H Lower Floor Block 6",Po Lam / Tseung Kwan O Station,"$10.5
M"
138,"Tai Hong Building 2 Rooms 2 Living Rooms
Flat C Lower Floor",Hong Kong West,"$7.38
M"
139,"Sunshine City Phase 4 3 Rooms
Flat 8 Higher Floor Block K",Ma On Shan,"$9.7
M"
140,"Parc Regal 3 Rooms 2 Living Rooms
Flat A Lower Floor Blk 1",Ho Man Tin,"$15.5
M"
141,"The Pacifica Phase 1
Flat B Higher Floor Block 3",Lai Chi Kok,"$8.2
M"
142,"The Hudson 3 Rooms 2 Living Rooms
Flat A Lower Floor",Hong Kong West,"$15
M"
143,"Serene Court 3 Rooms
Flat A Lower Floor",North Point / Fortress Hill,"$28.8
M"
144,"Prima Villa 2 Rooms 2 Living Rooms
Flat E Higher Floor Block 3",Shatin,"$8.6
M"
145,"Parkland Villas Phase 1 2 Rooms
Flat E Higher Floor Block 4",Tuen Mun,"$6
M"
146,"Caribbean Coast Phase 2 2 Rooms 2 Living Rooms
Flat F Middle Floor Block 6",Tung Chung,"$7.3
M"
147,"Eden Manor
Flat H Lower Floor Tower 7",Sheung Shui / Fanling,"$4.75
M"
148,"Island Harbourview 2 Rooms 2 Living Rooms
Flat B Middle Floor Block 08",Olympic,"$19.4
M"
149,"Coastal Skyline Le Bleu Deux
Flat D Lower Floor Block 2",Tung Chung,"$12
M"
150,"Sunshine City Phase 1 2 Rooms
Flat 3 Lower Floor Block B",Ma On Shan,"$6.3
M"
151,"Jubilee Garden 2 Rooms 1 Living Room
Flat H Higher Floor Block 1",Shatin,"$7.4
M"
152,"Serenity Park Phase 1 2 Rooms
Flat C Middle Floor Block 15",Tai Po,"$7
M"
153,"Grand Palisades 3 Rooms 2 Living Rooms
Flat D Higher Floor Block 09",Tai Po,"$11.6
M"
154,"Bon-Point 3 Rooms 1 Living Room
Flat D Lower Floor",Hong Kong West,"$21
M"
155,"Richland Garden 2 Rooms
Flat B Higher Floor Block 2",Tuen Mun,"$6.4
M"
156,"Island Harbourview 1 Room 2 Living Rooms
Flat A Lower Floor Block 10",Olympic,"$11.28
M"
157,"Sol City
Flat D Middle Floor Tower 2",Yuen Long,"$9.3
M"
158,"Park Royale 2 Rooms
Flat D Lower Floor Block 03",Yuen Long,"$5.5
M"
159,"Prime View Garden 2 Rooms
Flat A Lower Floor Block 4",Tuen Mun,"$4.88
M"
160,"Woodlands Court 1 Room 1 Living Room
Flat B Higher Floor",Mid-Levels West,"$8.8
M"
161,"City One Shatin Phase 4 1 Room
Flat C Middle Floor Block 40",Shatin,"$5.75
M"
162,"Grand Central Phase I 4 Rooms 1 Living Room
Flat A Lower Floor Tower 1",Kwun Tong,"$24.5
M"
163,"The Sorentino 2 Rooms
Flat H Higher Floor",Cheung Sha Wan / Sham Shui Po,"$7.5
M"
164,"Regal Court 3 Rooms 2 Living Rooms
Flat A Lower Floor",Ho Man Tin,"$11.5
M"
165,"Lung Fung Garden 2 Rooms 1 Living Room
Flat 4 Middle Floor Block A",Sheung Shui / Fanling,"$5.08
M"
