,Unnamed: 0,Name,District,Price,address,loc,lat,long
0,0,"The Belcher's Phase 1 2 Rooms 2 Living Rooms
Flat B Lower Floor Block 2",Mid-Levels West,"$16.8
M",The Belcher's Hong Kong,"寶翠園 The Belcher's, 石塘咀 Shek Tong Tsui, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.284970299999998,114.13342722511163
1,1,"Yat Nga Court 1 Room 2 Living Rooms
Flat 11 Higher Floor Yat Wing House",Tai Po,"$4.78
M",Yat Nga Yat Wing House Hong Kong,,0.0,0.0
2,2,"Kingswood Villas Sherwood Court 3 Rooms 2 Living Rooms
Flat B Lower Floor Block 01",Tin Shui Wai,"$6.28
M",Kingswood Villas Sherwood Hong Kong,"嘉湖山莊賞湖居 Sherwood Court, Kingswood Villas, 天水圍南 Tin Shui Wai South, 天水圍 Tin Shui Wai, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, 中国",22.453505200000002,114.00197142815088
3,3,"Lung Poon Court
Flat 5 Middle Floor Block D",Diamond Hill / San Po Kong / Ngau Chi Wan,"$5.5
M",Lung Poon Hong Kong,"龍蟠苑 Lung Poon Court, 竹園聯合村 Chuk Yuen United Village, 黃大仙區 Wong Tai Sin District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.3419265,114.20052028974804
4,4,"Kingswood Villas Locwood Court 3 Rooms
Flat D Middle Floor Block 12",Tin Shui Wai,"$5.78
M",Kingswood Villas Locwood Hong Kong,"嘉湖山莊樂湖居 Locwood Court, Kingswood Villas, 天水圍南 Tin Shui Wai South, 天水圍 Tin Shui Wai, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, 中国",22.4520684,113.99977936110372
5,5,"The Horizon 3 Rooms 2 Living Rooms
Flat B Court C1",Tai Po,"$19.5
M",The Horizon Hong Kong,"海日灣 The Horizon, 白石角 Pak Shek Kok, 大埔區 Tai Po District, 新界 New Territories, 香港 Hong Kong, 中国",22.42940635,114.20712784870958
6,6,"Grand Central Phase I 2 Rooms 2 Living Rooms
Flat M Higher Floor Tower 1",Kwun Tong,"$14.5
M",Grand Central Tower Hong Kong,,0.0,0.0
7,7,"Ultima Phase 1 4 Rooms 2 Living Rooms
Flat D Higher Floor Block 8",Ho Man Tin,"$65
M",Ultima Hong Kong,"天鑄 Ultima, 何文田 Ho Man Tin, 九龍城區 Kowloon City District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.31190235,114.18199790608907
8,8,"City One Shatin Phase 5 2 Rooms 1 Living Room
Flat G Lower Floor Block 52",Shatin,"$5.8
M",City One Shatin Hong Kong,"沙田第一城 City One Shatin, 圓洲角 Yuen Chau Kok, 沙田 Sha Tin, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国",22.38714225,114.20232287269579
9,9,"The Pavilia Bay 3 Rooms
Flat B Higher Floor Tower 1A",Tsuen Wan,"$27
M",The Pavilia Bay Tower Hong Kong,,0.0,0.0
